case	point	sample	warmups	pace_ms	operations	between_stage_ns	cycle_ns	first4_cycle_ns	first4_mkdir_ns	first4_rmdir_ns	first4_stat_ns	first_cycle_ns	first_mkdir_ns	first_rmdir_ns	first_stat_ns	mkdir_ns	rmdir_ns	stat_ns	tail_cycle_ns	tail_mkdir_ns	tail_rmdir_ns	tail_stat_ns	workload_wall_per_cycle_ns
w0-p50	B2	4	0	50	32	51.90625	80107.03125	73679.5	51325	15287	7015.75	53409	35409	13843	4106	55883.375	16392.6875	7779.0625	81025.25	56534.57142857143	16550.64285714286	7888.107142857143	50341620.96875
w0-p50	B2	5	0	50	32	50.40625	80502.6875	74287.75	51795.25	15392.25	7050.75	52718	34797	13743	4129	56954.28125	15755.90625	7742.09375	81390.53571428571	57691.28571428572	15807.857142857143	7840.857142857143	50369473.0
w0-p50	B2	6	0	50	32	55.28125	76767.15625	58803.25	38770.25	14471.25	5494.75	54312	36465	13569	4217	53497.125	15526.78125	7687.96875	79333.42857142857	55600.96428571428	15677.57142857143	8001.285714285715	50353697.25
w0-p50	B2	7	0	50	32	64.09375	80192.34375	72225.25	50083	15333	6741	77043	53898	16707	6353	55808.3125	16056.875	8263.0625	81330.5	56626.21428571428	16160.285714285714	8480.5	50355733.03125
w0-p50	B2	8	0	50	32	51.59375	78375.03125	75479.5	50586.75	15070.25	9773.5	57455	39400	13844	4158	54016.71875	15647.4375	8659.28125	78788.67857142857	54506.71428571428	15729.892857142857	8500.107142857143	50359175.625
w0-p50	B2	9	0	50	32	61.75	78045.15625	73917	51355.25	15247.25	7253.25	56118	38251	13681	4124	54563.5	15536.375	7883.53125	78634.89285714286	55021.82142857143	15577.67857142857	7973.571428571428	50361623.8125
w0-p50	A2	1	0	50	32	50.125	81826.96875	83258.75	58020.75	17812.75	7376	88716	65003	17748	5916	56066.25	17903.71875	7806.875	81622.42857142857	55787.03571428572	17916.714285714286	7868.428571428572	50364001.59375
w0-p50	A2	2	0	50	32	50.34375	81960.53125	77419.5	52818	17637.5	6913.75	66677	45958	16567	4103	56353.25	17857.5	7699.4375	82609.25	56858.28571428572	17888.928571428572	7811.678571428572	50353839.375
w0-p50	A2	3	0	50	32	50.4375	81685.46875	77623.75	51940.75	18348.5	7281.75	62824	39082	19204	4477	55538.71875	18310.875	7785.4375	82265.71428571429	56052.71428571428	18305.5	7857.392857142857	50360780.21875
w0-p50	A2	4	0	50	32	50.875	80516.75	75172.75	50607.25	17735.5	6779	54723	34701	15888	4083	54999.53125	17932.28125	7534.0625	81280.17857142857	55627	17960.39285714286	7641.928571428572	50358036.78125
w0-p50	A2	5	0	50	32	49.875	81666.28125	77734.25	52555.75	17774.75	7354.25	60999	39437	15988	5519	55541.53125	18254.09375	7820.78125	82228	55968.07142857143	18322.571428571428	7887.428571428572	50357412.09375
w0-p50	A2	6	0	50	32	48.90625	79815.53125	74607.25	50011.5	17434	7113	55740	35250	16277	4162	54133.59375	17910.21875	7722.8125	80559.57142857143	54722.46428571428	17978.25	7809.928571428572	50349551.59375
